,Year,Population,Population Swiss,Population Foreigners,Unemployment,Unemployment Rate,Refugees Total,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,457715,278724,178991,15318,6.532251874216412,1760,414,49,365,1346
1,2011,460534,279309,181225,12658,5.397913841482657,1790,468,39,429,1322
2,2012,463101,279417,183684,12427,5.299405538639988,1807,440,40,400,1367
3,2013,469433,279635,189798,13131,5.59962131873193,1867,400,22,378,1467
4,2014,477385,281897,195488,12691,5.411133804295909,2131,599,31,568,1532
5,2015,484736,287521,197215,13448,5.733900197003497,2362,880,61,819,1482
6,2016,489524,292641,196883,12947,5.520284818896966,2566,1210,82,1128,1356
7,2017,495249,296675,198574,12368,5.006213241693078,2990,1695,110,1585,1295
8,2018,499480,299540,199940,10212,4.133526004541536,3386,2166,175,1991,1220
9,2019,504128,302692,201436,9698,3.925473481398728,3647,2527,208,2319,1120
10,2020,506343,302731,203612,13462,5.449033203401699,3929,2846,300,2546,1083
