,Year,Population,Population Swiss,Population Foreigners,Unemployment,Unemployment Rate,Refugees Total,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,192621,160517,32104,1982,1.8149850735334518,423,192,61,131,231
1,2011,193388,160504,32884,1958,1.7930074540759326,460,249,60,189,211
2,2012,193920,160390,33530,2114,1.9358619805498067,527,273,51,222,254
3,2013,194959,160440,34519,2199,2.013699382795187,590,285,36,249,305
4,2014,195886,160497,35389,2115,1.9193069260703712,705,355,73,282,350
5,2015,196610,160689,35921,2240,2.0327411415591636,828,487,92,395,341
6,2016,197550,160932,36618,2094,1.9002504628117172,960,623,137,486,337
7,2017,197888,160985,36903,1940,1.7469922916216412,1097,756,171,585,341
8,2018,198379,161397,36982,1653,1.4885454938405014,1210,876,257,619,334
9,2019,199021,161639,37382,1617,1.4561270801815431,1309,977,278,699,332
10,2020,200096,161989,38107,2161,1.946005331028024,1420,1091,291,800,329
