,Year,Employment,Emplyoment Swiss,Employment Foreigners,Unemployment,Unemployment Rate,Refugees Total,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,70032,61267,8765,1692,1692,165,86,4,82,79
1,2011,70542,61600,8942,1155,1155,173,108,9,99,65
2,2012,70942,61722,9220,1338,1338,189,94,10,84,95
3,2013,71738,61985,9753,1521,1521,231,91,8,83,140
4,2014,72410,62284,10126,1477,1477,284,133,13,120,151
5,2015,72782,62361,10421,1655,1655,375,219,19,200,156
6,2016,73122,62471,10651,1865,1865,416,272,38,234,144
7,2017,73290,62519,10771,1698,1698,493,347,50,297,146
8,2018,73419,62651,10768,1347,1347,606,462,62,400,144
9,2019,73584,62749,10835,1440,1440,658,512,95,417,146
10,2020,73709,62740,10969,2028,2028,723,568,107,461,155
