,Year,Population,Population Swiss,Population Foreigners,Unemployment,Unemployment Rate,Total Refugees,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,41024,36353,4671,305,1.3057624796643548,129,52,6,46,77
1,2011,41311,36441,4870,216,0.9247367069098381,152,64,10,54,88
2,2012,41584,36398,5186,285,1.2201387105060364,161,65,12,53,96
3,2013,41888,36410,5478,271,1.1602020720952135,183,70,12,58,113
4,2014,42080,36363,5717,298,1.2315008756500399,212,90,19,71,122
5,2015,42420,36514,5906,318,1.3141519411299085,234,118,33,85,116
6,2016,42556,36521,6035,303,1.252169600793454,271,152,57,95,119
7,2017,42969,36712,6257,306,1.2325291013815605,290,178,62,116,112
8,2018,43223,36872,6351,265,1.0673863132879526,297,194,74,120,103
9,2019,43087,36719,6368,250,1.0069682200829742,296,203,74,129,93
10,2020,43520,36996,6524,432,1.7400410843033793,312,224,68,156,88
