,Year,Population,Population Swiss,Population Foreigners,Unemployment,Unemployment Rate,Refugees Total,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,76356,58705,17651,1087,2.603967037178996,308,85,14,71,223
1,2011,77139,58950,18189,999,2.3931582981985433,320,104,19,85,216
2,2012,77955,59199,18756,1185,2.8387313146799538,339,111,25,86,228
3,2013,78783,59350,19433,1283,3.073495592180912,380,115,13,102,265
4,2014,79417,59542,19875,1400,3.2137913485437366,472,219,35,184,253
5,2015,79836,59664,20172,1513,3.473190221676195,537,308,51,257,229
6,2016,80769,59889,20880,1513,3.4732105963913504,582,357,76,281,225
7,2017,81351,60185,21166,1388,3.1979356265695915,650,438,101,337,212
8,2018,81991,60626,21365,1465,3.3753427182452826,710,509,137,372,201
9,2019,82348,60891,21457,1350,3.110384074833537,776,584,155,429,192
10,2020,83107,61267,21840,1732,3.9905075686012488,861,666,175,491,195
